Estado;Município;Total domicílios;Total com água canalizada;Água em pelo menos um cômodo;Rede geral de distribuição;Outra forma;Água no terreno ou propriedade;Rede geral de distribuição.1;Outra forma.1;Não tinham;Código da Unidade Geográfica
Rondônia;Ariquemes;27190;24948;23681;8881;14800;1267;296;972;2242;1100023.0
Rondônia;Área 001;5250;4869;4552;2490;2062;317;143;175;380;1100023003001.0
Rondônia;Área 002;5129;4656;4241;1466;2776;415;70;345;473;1100023003002.0
Rondônia;Área 003;8212;7663;7381;1956;5425;283;71;212;549;1100023003003.0
Rondônia;Área 004;8600;7760;7507;2969;4538;253;13;240;840;1100023003004.0
Rondônia;Buritis;9507;8393;8031;19;8012;362;0;362;1114;1100452.0
Rondônia;Área 001;5400;4849;4755;19;4736;93;0;93;551;1100452003001.0
Rondônia;Área 002;4107;3544;3276;0;3276;268;0;268;563;1100452003002.0
Rondônia;Cacoal;24196;23789;23602;18203;5399;188;91;96;407;1100049.0
Rondônia;Área 001;4189;3985;3865;704;3162;119;23;96;204;1100049003001.0
Rondônia;Área 002;6203;6081;6041;4814;1227;40;40;0;122;1100049003002.0
Rondônia;Área 003;6602;6592;6592;6270;322;0;0;0;10;1100049003003.0
Rondônia;Área 004;7202;7132;7103;6415;688;28;28;0;70;1100049003004.0
Rondônia;Guajará-Mirim;10663;6886;6159;4130;2028;727;429;298;3777;1100106.0
Rondônia;Área 001;4439;3426;3217;2425;792;209;186;23;1013;1100106003001.0
Rondônia;Área 002;6224;3460;2942;1706;1236;518;243;275;2764;1100106003002.0
Rondônia;Jaru;15898;13594;13479;3921;9558;116;20;95;2303;1100114.0
Rondônia;Área 001;6215;5489;5457;1276;4181;32;11;21;725;1100114003001.0
Rondônia;Área 002;9683;8105;8022;2645;5377;84;9;74;1578;1100114003002.0
Rondônia;Ji-Paraná;35612;34030;32576;15608;16968;1454;621;833;1582;1100122.0
Rondônia;Área 001;4047;3707;3512;2408;1103;196;132;63;340;1100122003001.0
Rondônia;Área 002;4669;4431;4383;2307;2076;48;34;14;238;1100122003002.0
Rondônia;Área 003;4845;4777;4760;2406;2354;17;11;5;68;1100122003003.0
Rondônia;Área 004;4868;4604;4101;1124;2977;503;180;323;264;1100122003004.0
Rondônia;Área 005;7358;6860;6390;1547;4843;470;158;312;498;1100122003005.0
Rondônia;Área 006;9825;9651;9430;5816;3614;221;105;116;174;1100122003006.0
Rondônia;Machadinho D'Oeste;9170;7492;7319;2693;4626;173;103;69;1678;1100130.0
Rondônia;Área 001;4947;4633;4548;2601;1947;85;73;12;314;1100130003001.0
Rondônia;Área 002;4223;2859;2771;92;2678;88;31;57;1364;1100130003002.0
Rondônia;Ouro Preto do Oeste;11650;11299;10975;5125;5850;324;125;199;351;1100155.0
Rondônia;Área 001;4356;4275;4172;1954;2218;103;64;39;81;1100155003001.0
